index,source_payload_offset,file_offset,load_address,initialized_size,bss_address,bss_size
0,0,512,537178112,40740,541110148,12548
1,40960,41472,537219072,538820,541122696,908000
2,580608,581120,537758720,690,542030696,8
3,581632,582144,537759744,196108,542030704,20728
4,778240,778752,537956352,236700,542051432,519552
5,1015808,1016320,538193920,73416,542570984,564
6,1089536,1090048,538267648,427317,542571548,203118
7,1517568,1518080,538695680,16,542774668,4
8,1518592,1519104,538696704,654012,542774672,230148
9,2172928,2173440,539351040,1190770,543004820,47978
10,3363840,3364352,540541952,16,543052800,4
11,3364864,3365376,540542976,182182,543052804,133788
12,3547136,3547648,540725248,108068,543186592,8728
13,3655680,3656192,540833792,16,543195320,4
14,3656704,3657216,540834816,275332,543195324,60064
15,3932160,3932672,83889152,60668,83951616,1080
